"Inspection date";"ID Code";"Status";"Errors";"Warnings";"Duration (s)";"Review (s)";"Smema (s)";"Operator";"Review status";"Review operator";"Squeegee direction";"Batch";"Lot";"Iteration";"Error type";"Variant";
2025-10-25 05:39:39;2002626909;Warn;0;1;31.5;0.0;18.7;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:38:41;2002626910;Warn;0;24;30.6;0.0;20.4;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:37:42;2002626911;Warn;0;1;31.5;0.0;20.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:36:36;2002626912;Warn;0;1;33.3;0.0;26.5;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:35:38;2002626913;Good;0;0;37.1;0.0;14.4;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:34:40;2002626914;Good;0;0;34.1;0.0;17.0;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:33:09;2002626915;Good;0;0;36.8;0.0;47.1;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:32:10;2002626916;Warn;0;2;29.9;0.0;22.7;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:31:13;2002626917;Warn;0;8;35.1;0.0;15.2;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:30:14;2002626918;Warn;0;22;28.9;0.0;22.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:29:17;2002626919;Warn;0;1;31.5;0.0;19.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:28:19;2002626920;Warn;0;1;31.4;0.0;20.2;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:27:35;2002626921;Warn;0;1;34.3;0.0;2.8;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:25:56;2002626922;Good;0;0;28.8;0.0;63.6;install;-;-;FRONT_TO_REAR;wo2126565;;1;PE_NO_INFO;;
2025-10-25 05:25:10;2002626923;Good;0;0;29.7;0.0;9.0;install;-;-;REAR_TO_FRONT;wo2126565;;1;PE_NO_INFO;;
